Date,Close
8-Jun-16,129.23
9-Jun-16,129.31
10-Jun-16,133.67
13-Jun-16,137.49
14-Jun-16,138.02
15-Jun-16,140.91
16-Jun-16,142.5
17-Jun-16,137.94
20-Jun-16,137.81
21-Jun-16,135.92
22-Jun-16,136.48
23-Jun-16,145.7
24-Jun-16,142.92
27-Jun-16,136.43
28-Jun-16,153.66
29-Jun-16,136.46
30-Jun-16,140.58
1-Jul-16,128.53
